,Identifiers,Location,Longitude,Latitude
0,http://www.wikidata.org/entity/Q849957,Concertgebouw,4.879.083.333,52.356.305.555
1,http://www.wikidata.org/entity/Q2429975,Muziekcentrum Vredenburg,511.333,5.209.222
2,http://www.wikidata.org/entity/Q17599865,VARA,516.385,5.223.258
3,http://www.wikidata.org/entity/Q2237396,De Doelen,4.473.056,51.921.667
4,http://www.wikidata.org/entity/Q17463960,NCRV-studio,5.157.083.333,52.225.361.111
5,http://www.wikidata.org/entity/Q116870434,,4.282.188.888,52.092.919.444
6,http://www.wikidata.org/entity/Q1535378,Paradiso,4.883.872,52.362.144
7,http://www.wikidata.org/entity/Q111724001,Muziekpaviljoen,5.172.313.888,52.234.647.222
8,http://www.wikidata.org/entity/Q17463961,KRO-studio,518.033,5.221.992
9,http://www.wikidata.org/entity/Q2637994,Muziekgebouw aan 't IJ,491.306,5.237.833
10,http://www.wikidata.org/entity/Q2317981,De Oosterpoort,6.576.331,53.213.853
11,http://www.wikidata.org/entity/Q16901749,TivoliVredenburg,511.333,520.922
12,http://www.wikidata.org/entity/Q2373842,Megaland,6.024.167,50.881.667
13,http://www.wikidata.org/entity/Q17292034,De Ysbreeker,4.906.602.777,523.574
14,http://www.wikidata.org/entity/Q2625477,Muziekcentrum van de Omroep,5.163.961,52.232.553
15,http://www.wikidata.org/entity/Q7476228,Geertekerk,5.120.556,52.084.444
16,http://www.wikidata.org/entity/Q2312076,Philharmonie Haarlem,463.917,5.238.111
17,http://www.wikidata.org/entity/Q1545193,Grote of Sint-Bavokerk,4.636.388.888,52.380.833.333
18,http://www.wikidata.org/entity/Q1796182,Koninklijk Instituut voor de Tropen,4.920.727,52.362.603
19,http://www.wikidata.org/entity/Q119573677,Studio BFO,,
20,http://www.wikidata.org/entity/Q3344993,Tropentheater,4.922.752,52.362.595
21,http://www.wikidata.org/entity/Q2410708,Waalse Kerk,489.711,5.237.109
22,http://www.wikidata.org/entity/Q179426,Rotterdam Ahoy,4.488.056,51.882.778
23,http://www.wikidata.org/entity/Q2094317,Pieterskerk,5.124.444,52.091.389
24,http://www.wikidata.org/entity/Q1535365,Kurhaus,4.281.667,52.113.333
25,http://www.wikidata.org/entity/Q595668,Tilburg University,5.041.944.444,51.562.777.777
26,http://www.wikidata.org/entity/Q2485832,Dr. Anton Philipszaal,4.317.777,52.077.142
27,http://www.wikidata.org/entity/Q1999694,Leijpark,,
28,http://www.wikidata.org/entity/Q3132,Moers,6.619.722.222,51.459.166.666
29,http://www.wikidata.org/entity/Q1325514,Het Muziektheater,4.901.335,52.367.516
30,http://www.wikidata.org/entity/Q1815556,Nieuwe Kerk,431.566,5.207.631
31,http://www.wikidata.org/entity/Q851200,Beurs van Berlage,4.896.388.888,52.375
32,http://www.wikidata.org/entity/Q936545,Domkerk,5.121.393,52.090.657
33,http://www.wikidata.org/entity/Q21707604,Koepelkerk,4.880.272.222,52.362.466.666
34,http://www.wikidata.org/entity/Q2372424,Nicolaïkerk,5.125.278,52.083.056
35,http://www.wikidata.org/entity/Q2851347,Circustheater,42.825,52.110.833
36,http://www.wikidata.org/entity/Q1878995,Jacobikerk,5.115.278,52.095
37,http://www.wikidata.org/entity/Q2350612,Tivolicomplex,51.216,5.208.725
38,http://www.wikidata.org/entity/Q2433308,Stadsschouwburg Nijmegen,5.858.042,51.842.758
